"Note","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","118","Austin Ekeler","9.0","8.0","RB","WAS","12","13.12","97.2","136.0","143.0","171.6","141.5","12.3","$8","$8"
"","119","Mike Gesicki","9.0","7.0","TE","CIN","10","24.10","88.3","97.0","109.0","150.4","113.5","12.2","$15","$8"
"","120","Christian Kirk","9.0","9.0","WR","HOU","6","16.02","121.8","121.0","145.0","179.8","145.8","12.2","$7","$8"
"","121","Quinshon Judkins","9.0","8.0","RB","CLE","9","8.02","71.2","114.0","137.0","212.4","140.7","12.0","$7","$8"
"Injured","122","Brandon Aiyuk","9.0","9.0","WR","SF","14","12.02","95.8","132.0","143.0","190.2","144.9","11.8","$8","$8"
"","123","Denver Broncos","9.0","1.0","DEF","DEN","12","14.09","104.9","91.0","114.0","135.7","114.1","11.7","$2","$8"
"","124","Rhamondre Stevenson","9.0","9.0","RB","NE","14","12.01","111.4","119.0","128.0","189.4","138.2","11.2","$7","$8"
"","125","Brandon McManus","9.0","2.0","K","GB","5","36.07","138.6","123.0","154.0","172.5","151.1","10.9","$2","$7"
"","126","Brenton Strange","9.0","7.0","TE","JAC","8","17.11","87.9","99.0","101.0","150.5","110.1","10.8","$12","$7"
"Injured","127","Joe Mixon","9.0","9.0","RB","HOU","6","8.01","58.0","127.0","145.0","172.6","135.2","10.2","$6","$7"
"","128","Tank Bigsby","9.0","9.0","RB","JAC","8","12.05","95.9","107.0","123.0","203.0","134.8","10.1","$9","$7"
"","129","Jacory Croskey-Merritt","9.0","9.0","RB","WAS","12","14.06","86.1","127.0","118.0","206.5","134.9","10.1","$9","$7"
"Sleeper","130","Jayden Higgins","9.0","9.0","WR","HOU","6","11.07","106.4","121.0","133.0","194.2","141.2","10.0","$9","$7"
"","131","Caleb Williams","9.0","2.0","QB","CHI","5","9.04","306.0","337.0","360.0","403.2","358.1","9.7","$3","$6"
"","132","Juwan Johnson","9.0","7.0","TE","NO","11","29.09","88.0","92.0","100.0","146.0","107.5","9.7","$20","$6"
"","133","Romeo Doubs","9.0","9.0","WR","GB","5","18.09","110.7","114.0","135.0","185.0","139.6","9.2","$15","$6"
"","134","Pat Freiermuth","9.0","7.0","TE","PIT","5","18.01","84.3","91.0","98.0","146.0","105.9","9.0","$18","$6"
"","135","Dalton Schultz","9.0","7.0","TE","HOU","6","27.07","84.5","94.0","103.0","133.9","105.9","9.0","$18","$6"
"","136","Ja'Tavion Sanders","9.0","7.0","TE","CAR","14","26.08","76.4","81.0","91.0","165.6","104.4","8.4","$28","$6"
"","137","Brock Purdy","9.0","2.0","QB","SF","14","11.08","315.0","351.0","350.0","395.5","355.3","8.4","$6","$6"
"","138","Darren Waller","9.0","7.0","TE","MIA","12","23.10","60.5","97.0","96.0","153.6","104.0","8.2","$28","$5"
"","139","Javonte Williams","9.0","9.0","RB","DAL","10","11.10","72.6","119.0","121.0","186.3","128.3","7.9","$6","$5"
"","140","Jared Goff","9.0","3.0","QB","DET","8","12.03","319.4","330.0","351.0","400.1","354.2","7.9","$2","$5"
"Handcuff Flyer","141","Zach Charbonnet","10.0","10.0","RB","SEA","8","9.05","98.9","127.0","115.0","174.8","128.2","7.9","$5","$5"
"","142","Keenan Allen","10.0","9.0","WR","LAC","12","17.09","97.0","125.0","126.0","191.5","136.5","7.8","$5","$5"
"","143","Theo Johnson","10.0","8.0","TE","NYG","14","27.09","79.1","86.0","93.0","150.7","103.1","7.8","$28","$5"
"","144","Jalen Coker","10.0","9.0","WR","CAR","14","26.02","94.4","112.0","133.0","187.5","136.4","7.7","$16","$5"
"","145","Jake Elliott","10.0","2.0","K","PHI","9","21.05","135.3","127.0","152.0","167.2","149.1","7.6","$3","$5"
"","146","Matt Gay","10.0","2.0","K","WAS","12","27.10","132.9","129.0","151.0","169.1","149.0","7.5","$3","$5"
"","147","Justin Herbert","10.0","3.0","QB","LAC","12","9.11","308.0","332.0","354.0","396.5","353.4","7.5","$2","$5"
"","148","Kyler Murray","10.0","3.0","QB","ARI","8","10.08","308.8","349.0","347.0","395.6","352.6","7.2","$5","$5"
"Sleeper","149","Bhayshul Tuten","10.0","10.0","RB","JAC","8","12.12","81.4","87.0","103.0","221.5","124.6","6.7","$5","$4"
