Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
56,MIN,"T.J. Hockenson",TE,17,6.08,6,-5.3%,61%,198.1,210,220,281.7,31.7
57,SEA,"Jaxon Smith-Njigba",WR,17,3.12,8,1.5%,49%,217.5,232,242,287.6,31.4
58,DET,"Jared Goff",QB,17,5.06,8,-4.1%,16%,271,279,298,339.5,31.2
59,NYJ,"Garrett Wilson",WR,17,4.03,9,3%,41%,207.7,226,236,299.7,30.4
60,LAR,"Davante Adams",WR,17,5.08,8,0.4%,64%,204.7,242,233,295.5,30.3
61,NYJ,"Breece Hall",RB,17,4.01,9,5%,79%,196.2,216,223,301,29
62,CAR,"Tetairoa McMillan",WR,17,5.10,14,2%,48%,189.6,217,234,297.2,28.2
63,MIN,"J.J. McCarthy",QB,17,7.04,6,-3.5%,25%,232.4,278,302,341.1,28.1
64,ARI,"Marvin Harrison Jr.",WR,17,3.10,8,0.9%,83%,196.7,232,226,298.5,28
65,HOU,"C.J. Stroud",QB,17,5.11,6,4.7%,28%,267.9,270,294,338.5,28
66,CHI,"D.J. Moore",WR,17,6.01,5,0.5%,50%,202.8,225,230,290.3,27.9
67,WAS,"Terry McLaurin",WR,17,4.10,12,-0.2%,59%,198.9,230,234,280.8,27.9
68,KC,"Xavier Worthy",WR,17,6.07,10,0.6%,54%,195.1,214,230,298.4,27.7
69,PIT,"D.K. Metcalf",WR,17,6.03,5,1.9%,68%,200.1,227,235,277.8,27.7
70,PHI,"DeVonta Smith",WR,17,6.04,9,1.1%,72%,202.1,220,230,287.1,27.6
71,BAL,"Mark Andrews",TE,17,8.03,7,4.6%,45%,181.9,191,207,270.8,27.5
72,MIA,"Jaylen Waddle",WR,17,8.02,12,2.9%,66%,191.8,204,237,288.9,27.4
73,NE,"TreVeyon Henderson",RB,17,5.07,14,3.7%,75%,169.8,208,223,294.9,26.9
74,MIA,"Tua Tagovailoa",QB,17,9.10,12,2.2%,30%,255.3,258,290,333.6,26.7
75,CAR,"Bryce Young",QB,17,9.06,14,3.6%,22%,247.2,260,284,329.7,25.9
76,DAL,"George Pickens",WR,17,7.05,10,-3.2%,52%,189.7,206,226,284.5,25.7
77,BAL,"Zay Flowers",WR,17,7.02,7,1.2%,62%,205,208,233,258.6,25.6
78,DEN,"Courtland Sutton",WR,17,6.10,12,-1.3%,67%,202.7,218,230,258,25.5
79,IND,"Tyler Warren",TE,17,8.01,11,0.4%,26%,160.5,187,203,278.4,25.4
80,KC,"Rashee Rice",WR,11,5.02,10,0.6%,80%,180.4,211,223,287.3,25.3
81,TEN,"Tony Pollard",RB,17,8.06,10,-0.4%,60%,169.4,203,220,268.5,24.8
82,DET,"Jameson Williams",WR,17,7.03,8,1%,48%,185.5,199,221,284.9,24.5
